cluster_id,normalised_title,year,candidate_id,title,publisher,source_url,text_sha256,decision
32,sibanye stillwater restructures historical lonmin bee structure,2021,SAT-MEDIA-015,Sibanye-Stillwater restructures historical Lonmin BEE structure,Mining Weekly,https://www.miningweekly.com/article/sibanye-stillwater-restructures-historical-lonmin-bee-structure-2021-04-14,ef4a2bd6c96b68cd68ebd992cdedd3d9b0d9fe17595c6ceed5cbba835e0f9887,manual_review_same_title_year
33,south africa must prosecute 2012 marikana deaths amnesty says,2017,DISC-MEDIA-0662,South Africa Must Prosecute 2012 Marikana Deaths Amnesty Says,Engineering News,https://www.engineeringnews.co.za/article/south-africa-must-prosecute-2012-marikana-deaths-amnesty-says-2017-08-15,0517ccc652ca380fc268be9c470694b6aed34c903e573982baf5f2ef4d66f7fc,manual_review_same_title_year
33,south africa must prosecute 2012 marikana deaths amnesty says,2017,DISC-MEDIA-0663,South Africa Must Prosecute 2012 Marikana Deaths Amnesty Says,Engineering News,https://www.engineeringnews.co.za/article/south-africa-must-prosecute-2012-marikana-deaths-amnesty-says-2017-08-25,a92efaf5bfb02872212ad9418af467dc010f69b868c466f2a6d7489f1bf4e4a3,manual_review_same_title_year
34,strike hit mothers have no food to put on the table lonmin,2014,MEDIA-033,Strike-hit mothers have no food to put on the table – Lonmin,Mining Weekly,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,bdde2146058551a3cb378e07c37702ea896f053309cfb27388040e0db5d90f9f,manual_review_same_title_year
34,strike hit mothers have no food to put on the table lonmin,2014,DISC-MEDIA-0666,Strike Hit Mothers Have No Food To Put On The Table Lonmin,Engineering News,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-11,34c18bd062cc3bd3113f1f0145da97016fd9cb04f53ff1406e8ee76e87db89a5,manual_review_same_title_year
35,thakadu to build 14m nickel beneficiation plant at lonmin refinery,2016,DISC-MEDIA-0668,Thakadu To Build 14M Nickel Beneficiation Plant At Lonmin Refinery,Engineering News,https://www.engineeringnews.co.za/article/thakadu-to-build-14m-nickel-beneficiation-plant-at-lonmin-refinery-2016-11-16,d387b571d31ee1c39123a262e0f274aa081ce6b8321ddf8b812f32bcb67a0c1b,manual_review_same_title_year
35,thakadu to build 14m nickel beneficiation plant at lonmin refinery,2016,DISC-MEDIA-0669,Thakadu To Build 14M Nickel Beneficiation Plant At Lonmin Refinery,Engineering News,https://www.engineeringnews.co.za/article/thakadu-to-build-14m-nickel-beneficiation-plant-at-lonmin-refinery-2016-11-25,ddc8804696e9f8cfa95a0ec2fb998eaa4e83b7dfc2ec7ad558b8bba2d71f4315,manual_review_same_title_year
36,tribunal approves sibanye lonmin merger imposes 6 month moratorium on retrenchments,2018,MEDIA-047,"Tribunal approves Sibanye, Lonmin merger; imposes 6-month moratorium on retrenchments",Mining Weekly,https://www.miningweekly.com/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,dbaef47439d28cae9efb4d305cf48f3bb07a86db994590832329c689a695688f,manual_review_same_title_year
36,tribunal approves sibanye lonmin merger imposes 6 month moratorium on retrenchments,2018,DISC-MEDIA-0675,Tribunal Approves Sibanye Lonmin Merger Imposes 6 Month Moratorium On Retrenchments,Engineering News,https://www.engineeringnews.co.za/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-30,67d796a58364e2da164f7954c6149336e47fa4eba7493d5793957de860c1f9e1,manual_review_same_title_year
37,union puts chamber on spot over alleged lonmin breach,2013,expanded_media_candidates__EXP-MEDIA-007,Union puts chamber on spot over alleged Lonmin breach,Mining Weekly,https://www.miningweekly.com/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-09-06,5514197e59e61e2a6b404294af115e5bd01688436ff578b7bf8f125ca30925e9,manual_review_same_title_year
