candidate_id,title,year,publisher,metadata_source,source_url,final_url,raw_sha256,text_sha256,text_words
MEDIA-022,"Lonmin Q1 2014 mining production down 10%, will revise full-year guidance as result of strikes",2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/lonmin-q1-2014-mining-production-down-10-will-revise-full-year-guidance-as-result-of-strikes-2014-01-30,https://www.miningweekly.com/article/lonmin-q1-2014-mining-production-down-10-will-revise-full-year-guidance-as-result-of-strikes-2014-01-30,a713d13d28b2082b1f9f7eef6d0ebb8dbcf488951a45fee79a9b5036da1320bc,2ae5087caf26742d63f762d5a98eca770d88255e640e9b20528f817a31faace3,824
MEDIA-023,AMCU members defy call to return to work,2014,Engineering News,retrieval_manifest,https://www.engineeringnews.co.za/article/amcu-members-defy-call-to-return-to-work-2014-05-14,https://www.engineeringnews.co.za/article/amcu-members-defy-call-to-return-to-work-2014-05-14,1a99c8e27967306974bb9bd8a4e45ad1ce22b04c54ae41c940286d67ce73c57c,14231a1493b4a560fbe7254ece159d2e779176db0b2a2e3cbdad42a3e7222061,541
MEDIA-024,"Lonmin, AMCU celebrate finalisation of landmark BEE equity deal",2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,https://www.miningweekly.com/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,df9185d13b79eddf4023505cc7652a3f859197996a60e8ea7b4e5c45107e1b45,3233217edb1b12bfcf6bfce122c706190f38a66b8dea0db8cdc3b81a7c01302b,964
MEDIA-025,"Farlam wants workers housed, Mining Charter goes to court, coal firms transform for Eskom",2015,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/farlam-wants-workers-housed-mining-charter-goes-to-court-coal-firms-transform-for-eskom-2015-06-26,https://www.miningweekly.com/article/farlam-wants-workers-housed-mining-charter-goes-to-court-coal-firms-transform-for-eskom-2015-06-26,3a2e7007d1bc03da301c1a04756c868462042f728c1f81f6a3df50ba93ebc282,b92b1db90083c42daf69b69d0a02bc85bbc8582006aebb6faef2bf3678d59487,856
MEDIA-026,"Lonmin cuts workforce, shrinks capex, lowers unit costs",2015,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/lonmin-cuts-workforce-shrinks-capex-lowers-unit-costs-2015-11-13,https://www.miningweekly.com/article/lonmin-cuts-workforce-shrinks-capex-lowers-unit-costs-2015-11-13,7aae62e9c1269c3b72e4b44beb5683bf0e8ed4835b23f5158662956e840e04c7,ccd486835abc9e2861b9e6afe74c3615a67ba703abe0f9257cdf6dc83f59f45c,868
MEDIA-027,Corobrik's quality face bricks used in the construction of Marikana's housing project,2016,Engineering News,retrieval_manifest,https://www.engineeringnews.co.za/article/corobriks-quality-face-bricks-used-in-the-construction-of-marikanas-housing-project-2016-05-23,https://www.engineeringnews.co.za/article/corobriks-quality-face-bricks-used-in-the-construction-of-marikanas-housing-project-2016-05-23,87884dd00684b865eadbae717c8e22f03643362088252f4d5617e86d4f5e0914,6d6bff03d274e189f1b0893a82f389a10b254344146c8f4db70bd10ed104fe14,763
MEDIA-028,"Objectives are to cut fixed costs, minimise capex, up efficiencies",2017,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/objectives-are-to-cut-fixed-costs-minimise-capex-up-efficiencies-2017-04-07,https://www.miningweekly.com/article/objectives-are-to-cut-fixed-costs-minimise-capex-up-efficiencies-2017-04-07,9d1b5c989e18519c950ea1619b314770d904a51cb1a91ac57632094bfb744568,a75e10b20607623c88f5d3a125d70cc0384a218e5cee4bafff8d4adc72b19d6a,795
MEDIA-029,The lost platinum sector jobs are not coming back,2019,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2019-10-24-the-lost-platinum-sector-jobs-are-not-coming-back/,https://www.dailymaverick.co.za/article/2019-10-24-the-lost-platinum-sector-jobs-are-not-coming-back/,fbda7cfd740c55f45ebdd979025517d77e6b93c2251b5dc8b857b55e94e7695b,87c746807464b44ce7cc29f4de3d33ac00efbc9d6115e44c3c572cd530aa5557,1303
MEDIA-030,"One decade on, the Marikana mine has seen a turnaround in fortunes and is making a punchy profit",2022,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2022-08-14-one-decade-on-the-marikana-mine-has-seen-a-turnaround-in-fortunes-and-is-making-a-punchy-profit/,https://www.dailymaverick.co.za/article/2022-08-14-one-decade-on-the-marikana-mine-has-seen-a-turnaround-in-fortunes-and-is-making-a-punchy-profit/,c102a728ea6ec5e24eb77148620d0c7ef96b185c06ed6c356869d5278516d745,396285d7aca0c92cd390e086048d084c1081fee2013d9a5316de042e5abc881a,829
MEDIA-031,Lonmin donates 50 ha of land for residential development,2013,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,f3c1ada134ad69ad2e0a7f7cf4016259bb8741d9a5c26a1aef1514ddcc838813,8abafe52c18e50ba526763013b9113b25c5f0031c9a750c110e9b533f188ec53,607
