record_id,source_phase,title,year,publisher,url,fetch_status,fetch_error,extraction_method,fresh_words,fresh_sha256,global_extraction_collision,usable_for_textwide_similarity
MEDIA-039,prior_screened_300,Mining towns get R18bn facelift,2015,Mining Weekly,https://www.miningweekly.com/article/mining-towns-get-r18bn-facelift-2015-07-01,retrieved_extracted,,trafilatura,1622,f0f02ca6b812af09bc9c7ff09e8e2ffec8807bfc1741094b3a71c930ee8d1fb8,false,true
MEDIA-040,prior_screened_300,"Farlam finds against Lonmin, recommends enforced housing delivery",2015,Mining Weekly,https://www.miningweekly.com/article/farlam-finds-against-lonmin-recommends-enforced-housing-delivery-2015-06-25,retrieved_extracted,,trafilatura,2195,0627db5bf833836efec03a82c8f1a48963d182a1d1f7179914a839cb8ccf4ec7,false,true
MEDIA-041,prior_screened_300,Govt commits billions for revitalisation of mining-dependent communities,2016,Mining Weekly,https://www.miningweekly.com/article/govt-commits-billions-for-revitalisation-of-mining-dependent-communities-2016-02-05,retrieved_extracted,,trafilatura,1676,33ae1135c40aca1ba4d5aa98436c3aa6931cf879e47ef1086d4c01d12456aeea,false,true
MEDIA-042,prior_screened_300,Nothing off table as Lonmin pursues value in low platinum price environment,2017,Mining Weekly,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,retrieved_extracted,,trafilatura,2194,6c5a142a47678359c868ce86d22295377652056c425c73a223f61a5f1851c716,false,true
MEDIA-043,prior_screened_300,"Sibanye-Stillwater to acquire embattled Lonmin, completes PGMs strategy",2017,Mining Weekly,https://www.miningweekly.com/article/sibanye-stillwater-to-acquire-embattled-lonmin-in-all-share-offer-2017-12-14,retrieved_extracted,,trafilatura,1607,172fd579c9febff2eac3ae31cda6553c8c81694f0a55f2ab80f15df79e4bf6c2,false,true
MEDIA-044,prior_screened_300,Lonmin transaction filed with South Africa's competition authority,2018,Mining Weekly,https://www.miningweekly.com/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,retrieved_extracted,,trafilatura,461,373db119d41fe79ab61ac435dd5685c428b6952df8a70b02c2e4c54dccbc5b55,false,true
MEDIA-045,prior_screened_300,Reserve Bank approves Sibanye's buyout of Lonmin,2018,Mining Weekly,https://www.miningweekly.com/article/reserve-bank-approves-sibanyes-buyout-of-lonmin-2018-05-15,retrieved_extracted,,trafilatura,613,a01b3107de395862ce2ca00feace6e65d1ea1160b37c56c19f95b520b7f20b38,false,true
MEDIA-046,prior_screened_300,UK regulatory body approves Sibanye's acquisition of Lonmin,2018,Mining Weekly,https://www.miningweekly.com/article/uk-regulatory-body-approves-sibanyes-acquisition-of-lonmin-2018-06-28,retrieved_extracted,,trafilatura,514,a3b85ca32fd23205a10cdc64967337256aff7847926f725bd0897c639a21a862,false,true
MEDIA-047,prior_screened_300,"Tribunal approves Sibanye, Lonmin merger; imposes 6-month moratorium on retrenchments",2018,Mining Weekly,https://www.miningweekly.com/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,retrieved_extracted,,trafilatura,614,707f39da86515718d82dc3763f73c5d7d31146f7926fd38f333ca2e5909ae8fe,false,true
MEDIA-048,prior_screened_300,"Lonmin undertakes refinancing, delivers on results promise",2018,Mining Weekly,https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,retrieved_extracted,,trafilatura,1360,d8eae2bbc8f0cc281457b5b507064eba01c3abe616e847ba8442c9988e66be81,false,true
MEDIA-049,prior_screened_300,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",2019,Mining Weekly,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,retrieved_extracted,,trafilatura,764,9e948cf6e44f167ccf051d37eb95300c88f8d9bb7846081168e9a143a21dc704,false,true
MEDIA-050,prior_screened_300,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,2019,Mining Weekly,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,retrieved_extracted,,trafilatura,768,ffd12c07e9fdc2a758d46f913bde848a4c4a3ede3b3a5c56a13f3aa8eb954339,false,true
MEDIA-051,prior_screened_300,Sibanye plans to cut 5 270 jobs as it restructures Marikana operations,2019,Mining Weekly,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,retrieved_extracted,,trafilatura,976,46ce993cc2dc9db00649240e3e27dd931d3db013c00ad45880c865a7e5bb5ac8,false,true
MEDIA-052,prior_screened_300,Sibanye-Stillwater intensifies PGMs presence,2019,Mining Weekly,https://www.miningweekly.com/article/sibanye-stillwater-intensifies-pgms-presence-2019-08-23,retrieved_extracted,,trafilatura,1201,091c1865b9ad7823ad00c945b2f744a4c372b10e8894b375f66d76619bc930d9,false,true
MEDIA-053,prior_screened_300,Sibanye confirms final Marikana retrenchment figures,2020,Mining Weekly,https://www.miningweekly.com/article/sibanye-confirms-final-marikana-retrenchment-figures-2020-01-16,retrieved_extracted,,trafilatura,551,8e3412fdfa96ac9ae222c8775c58af18bcb84cb2e9558b16f0c2bfee27d36104,false,true
MEDIA-054,prior_screened_300,"Sibanye launches campaign to reimagine, foster Marikana community of the future",2021,Mining Weekly,https://www.miningweekly.com/article/sibanye-launches-campaign-to-reimagine-foster-marikana-community-of-the-future-2021-04-16,retrieved_extracted,,trafilatura,1227,598a1b05584e0d369935293a55c2fad6547ca24bca8ccbce52128b6592eb8ce7,false,true
MEDIA-055,prior_screened_300,Sibanye to hold webcast series to aid healing and renewal in Marikana,2021,Mining Weekly,https://www.miningweekly.com/article/sibanye-to-hold-webcast-series-to-aid-healing-and-renewal-in-marikana-2021-08-11,retrieved_extracted,,trafilatura,961,0e13ba9a57aed44b9d35b4077e5172e92b4f6e2defc28aebcbe688700acc6474,false,true
MEDIA-056,prior_screened_300,Amcu's Marikana PGM miners demand pay hikes of up to 40% from Sibanye,2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-05-03-exclusive-amcus-marikana-pgm-miners-demand-pay-hikes-of-up-to-40-from-sibanye/,retrieved_extracted,,trafilatura,615,7e89ee51c4658553917fdfbaf1d29d3a1bad31e7ece63cee9a76d0a3043c4720,false,true
