candidate_id,title,year,publication_date_from_url,publisher,url,prescreen_bucket,targeted_fetch_status,retrieved_text_words,retrieved_text_sha256,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms,title_has_case_process_signal,title_has_routine_corporate_signal,evidence_class,evidence_note,review_decision,review_reason_code,review_note
DISC-MEDIA-0395,Despite Disappointing Q1 Production Figures Lonmin Maintains Fy17 Guidance,2017,2017-01-26,Engineering News,https://www.engineeringnews.co.za/article/despite-disappointing-q1-production-figures-lonmin-maintains-fy17-guidance-2017-01-26,lonmin_only_title_review,retrieved_extracted,1219,96ecfb83a1a5e909d871c0304c9889e151d79309509769f6fb73ea9db169b9c4,marikana,1,worker_miner;union,2,,0,earnings_results;production_output;transaction;exploration_project,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0424,Lonmin Boosts Turnaround On Upped Output Suffers Fatalities,2017,2017-07-28,Engineering News,https://www.engineeringnews.co.za/article/lonmin-boosts-turnaround-on-upped-output-suffers-fatalities-2017-07-28,lonmin_only_title_review,retrieved_extracted,864,e18bcc43e29580d0ed6cffded0686aefa08b5b8cf70dcf8fbb09c7262b1c2af2,marikana,1,worker_miner;shooting_death;union,3,,0,earnings_results;production_output;exploration_project;commodity_market,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0425,Lonmin Boosts Turnaround On Upped Production But Suffers Fatalities,2017,2017-07-17,Engineering News,https://www.engineeringnews.co.za/article/lonmin-boosts-turnaround-on-upped-production-but-suffers-fatalities-2017-07-17,lonmin_only_title_review,retrieved_extracted,883,76a68d18a006696ed963ae682477c9a5c3797b0cced9bf2c29fc763f7000c983,marikana,1,worker_miner;shooting_death;union,3,,0,earnings_results;production_output;exploration_project;commodity_market,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0469,Lonmin Maintains Fy17 Guidance Despite Weaker Than Expected Production Numbers,2017,2017-02-03,Engineering News,https://www.engineeringnews.co.za/article/lonmin-maintains-fy17-guidance-despite-weaker-than-expected-production-numbers-2017-02-03,lonmin_only_title_review,retrieved_extracted,1142,f39328662331ba9007f2e97f1a5c8eb64639f7a1b686f8013ffb62023ae38449,marikana,3,worker_miner;union,2,,0,earnings_results;production_output;transaction;exploration_project,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0531,Lonmin Will Dismiss 1 139 Employees By December Claims Solidarity,2017,2017-10-23,Engineering News,https://www.engineeringnews.co.za/article/lonmin-will-dismiss-1-139-employees-by-december-claims-solidarity-2017-10-23,lonmin_only_title_review,retrieved_extracted,551,4742ce0f64a77ec92c348d13613bf1600ee4d849bf93556e6476efdf02cfc1ff,marikana,1,strike;worker_miner;union,3,community,1,earnings_results,1,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0633,Shorts Pile Into Cash Strapped Lonmin As Platinum Flounders,2017,2017-06-27,Engineering News,https://www.engineeringnews.co.za/article/shorts-pile-into-cash-strapped-lonmin-as-platinum-flounders-2017-06-27,lonmin_only_title_review,retrieved_extracted,774,f67a21fb69bf76b66ce6c77684fb651b1c75a110d1c248d64208686a60b88477,marikana,1,worker_miner;protest_unrest,2,,0,share_price;earnings_results;production_output;funding_debt;transaction;dividend_rights;exploration_project,7,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0253,Open Letter To Cyril Ramaphosa Use Your Power To Make Reparation Over Marikana,2018,2018-02-15,Daily Maverick,https://www.dailymaverick.co.za/article/2018-02-15-open-letter-to-cyril-ramaphosa-use-your-power-to-make-reparation-over-marikana/,explicit_case_title_review,retrieved_extracted,548,63282253a89e126119c8321b057cf02c7a9d4245b191bd78128c5a2622e19a0a,marikana,1,worker_miner;shooting_death;union,3,,0,transaction,1,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0617,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,2018,2018-01-22,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-01-22,lonmin_only_title_review,retrieved_extracted,1294,cfa6a8f0f1a4ff17999a5be272bc6e18f19fd185001ee71047e2f6d4d186f5d8,marikana,1,police;protest_unrest,2,community,1,share_price;earnings_results;production_output;funding_debt;exploration_project;commodity_market,6,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0618,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,2018,2018-02-02,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-02-02,lonmin_only_title_review,retrieved_extracted,1287,3f20f1a16825ca1184cb35399d4b7b003b606471d2093a8f19fc870c04c43815,marikana,1,police;protest_unrest,2,community,1,share_price;earnings_results;production_output;funding_debt;exploration_project;commodity_market,6,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0466,Lonmin Likely To Cut Fewer Jobs Due To Revenue Boost Ceo,2019,2019-05-15,Engineering News,https://www.engineeringnews.co.za/article/lonmin-likely-to-cut-fewer-jobs-due-to-revenue-boost-ceo-2019-05-15,lonmin_only_title_review,retrieved_extracted,745,739a0dc2bef4552fedd6c1455fc738d4ee0e641c3f3da00e77f5ca85dc2bfc60,marikana,1,worker_miner;union,2,,0,earnings_results;production_output;transaction;exploration_project;commodity_market,5,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0628,Sanco Wants Government To Intervene To Halt Looming Job Cut In Marikana,2019,2019-09-27,Engineering News,https://www.engineeringnews.co.za/article/sanco-wants-government-to-intervene-to-halt-looming-job-cut-in-marikana-2019-09-27,explicit_case_title_review,retrieved_extracted,516,1230868a5d27699ef1065676fac30318af5d60dc06ceaedfce48a267495efef0,marikana,2,,0,community,1,earnings_results,1,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0654,Sibanyes Marikana Restructuring Good In The Long Run Say Market Commentators,2019,2019-09-26,Engineering News,https://www.engineeringnews.co.za/article/sibanyes-marikana-restructuring-good-in-the-long-run-say-market-commentators-2019-09-26,explicit_case_title_review,retrieved_extracted,654,25282a9d0d74fd1c863a821b8ab499a7c87e050f9d41779ba1cd87517e8dff11,marikana,4,worker_miner;union,2,community,1,earnings_results;production_output;funding_debt;commodity_market,4,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0672,Transport Smme From Marikana Launches Road Safety Campaign,2023,2023-07-12,Engineering News,https://www.engineeringnews.co.za/article/transport-smme-from-marikana-launches-road-safety-campaign-2023-07-12,explicit_case_title_review,retrieved_extracted,773,ea8b61a86fe9f495931dd2a4add89a44e7f3058f2304bd94cea455276c124e47,marikana,2,,0,community,1,earnings_results;transaction;exploration_project,3,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
