record_id,title,year,publisher,url,execution_recovery_status,execution_extraction_method,execution_words,execution_text_sha256,final_url,error,frozen_provenance_text_sha256,frozen_provenance_text_words
SEC-MEDIA-0150,Amcu Coal Gold Strike Not Approved Nedlac,2014,Engineering News,https://www.engineeringnews.co.za/article/amcu-coal-gold-strike-not-approved-nedlac-2014-03-28,retrieved_extracted,trafilatura,582,24e14fa3bb73e264e65afe1ebc9e569556f8ada15561cdc5f422038eb0446a65,https://www.engineeringnews.co.za/article/amcu-coal-gold-strike-not-approved-nedlac-2014-03-28,,646304e2dc7c27e6ea89526dc95a761c759c38875a58ecb7a88d71c32ec6dc2f,582
DISC-MEDIA-0146,Marikana Commission Phase Two The Big Picture,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-03-31-marikana-commission-phase-two-the-big-picture/,retrieved_extracted,trafilatura,961,233c9357505010d49dccad2e5b5124c3590829f3bbf76f69131a22105bddf890,https://www.dailymaverick.co.za/article/2014-03-31-marikana-commission-phase-two-the-big-picture/,,eaa5cdc5d12138908340d973c135e094ce0b4f7a6e76dd8783e4fac58d871f17,961
SEC-MEDIA-0018,Platinum Strike Miners Share Their Ordeal,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-04-04-platinum-strike-miners-share-their-ordeal/,retrieved_extracted,trafilatura,1172,d87b6f34a2d5f84dfd3fc60114e4ed5c74e1ff74bbdc45fdb88ac405141c4ad5,https://www.dailymaverick.co.za/article/2014-04-04-platinum-strike-miners-share-their-ordeal/,,b24ce1e46c4c35f0ae6004a79aecaa0df4d91d90f2dcc9e42176132ace6406a2,1172
DISC-MEDIA-0147,Marikana Commission Phase Two Migrancy,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-04-10-marikana-commission-phase-two-migrancy/,retrieved_extracted,trafilatura,1044,2bf97e01fd4876380fcbbc33567558ded5388425ece34862ce405f3421c12133,https://www.dailymaverick.co.za/article/2014-04-10-marikana-commission-phase-two-migrancy/,,d79a28efb7db3b3dc29478d363e7c374a560133de0e8b59c140f18d8043cc61c,1044
DISC-MEDIA-0148,Will Marikanas Mr X Be A Game Changer,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-04-15-will-marikanas-mr-x-be-a-game-changer/,retrieved_extracted,trafilatura,2369,273b0db51341b59e72b0a0a31817b4975ea188d2003a0dea9f0815b43d7b3bf3,https://www.dailymaverick.co.za/article/2014-04-15-will-marikanas-mr-x-be-a-game-changer/,,a6d1a448c7d9ee053bcf3afd775513a0e4a22b93f83b815bf200c79c78c0fe85,2369
SEC-MEDIA-0019,Platinum Strikes Discussions To Determine Platinum Belt Amcus Future,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-04-23-platinum-strikes-discussions-to-determine-platinum-belt-amcus-future/,retrieved_extracted,trafilatura,1111,201908b8111714eb5f779e41a5414053ed2a80622aecee197528a5305f670187,https://www.dailymaverick.co.za/article/2014-04-23-platinum-strikes-discussions-to-determine-platinum-belt-amcus-future/,,9991ae6a4b1843461beeecae98fe7760463144318b2c3b43c6fb8787eaa8854a,1111
SEC-MEDIA-0489,Platinum Strike Slashes Amplats Q1 Output By 39,2014,Engineering News,https://www.engineeringnews.co.za/article/platinum-strike-slashes-amplats-q1-output-by-39-2014-04-24,retrieved_extracted,trafilatura,969,3d01941d7620179f43582242f7ad0d13f1ab99f43df82b1b6b3b22f2ede99c19,https://www.engineeringnews.co.za/article/platinum-strike-slashes-amplats-q1-output-by-39-2014-04-24,,d3b4efebc0390097a7e88bcf30e306ee5061b61968de03cd041abbab02b29786,969
SEC-MEDIA-0520,Safricas Amcu Says Wage Offer May Not Be Ready For Vote,2014,Engineering News,https://www.engineeringnews.co.za/article/safricas-amcu-says-wage-offer-may-not-be-ready-for-vote-2014-04-24,retrieved_extracted,trafilatura,409,ee2ebaa13d733f7e503fd52a5827d4aeb8952905ac2093748ed3b94fdc0060c3,https://www.engineeringnews.co.za/article/safricas-amcu-says-wage-offer-may-not-be-ready-for-vote-2014-04-24,,2ef05c94f18c2821f985bc3aabf36c5cc3c483812928ef6b8c83c542c9dced1e,409
DISC-MEDIA-0149,A Luta Continua Amcu Decides In Zuma Free Marikana,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-04-30-a-luta-continua-amcu-decides-in-zuma-free-marikana/,retrieved_extracted,trafilatura,1017,f3c8fc21d17e981dd5faa7e1c5243faaaaffa12a1a4b82d8d74ea064ebbc9a76,https://www.dailymaverick.co.za/article/2014-04-30-a-luta-continua-amcu-decides-in-zuma-free-marikana/,,a17d34bfaaf47f824eb5a308182d08a7ade93324f742fa947e79c02e2b1ab221,1017
DISC-MEDIA-0150,Khayelitsha May Day Rally Silence On Zuma Nkandla And Marikana Not So On Enemies Of The Revolution,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-02-khayelitsha-may-day-rally-silence-on-zuma-nkandla-and-marikana-not-so-on-enemies-of-the-revolution/,retrieved_extracted,trafilatura,1593,6a15e412c441408d89864d92e99df304d1c9107d077bd73631762bff257b5902,https://www.dailymaverick.co.za/article/2014-05-02-khayelitsha-may-day-rally-silence-on-zuma-nkandla-and-marikana-not-so-on-enemies-of-the-revolution/,,8958ace61c2f16524219beba46cadee4d31ae52d5cf904b804283aca98e37d0c,1593
