min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
2,1,salience_times_contention,0.5,Community Infrastructure,0.1,0.5250912298783984,0.11513923261873352,0.015139232618733511
2,1,salience_times_contention,0.8,NPV,0.25,0.03232236790750248,0.2221508249879066,-0.027849175012093413
2,1,salience_times_contention,0.8,IRR,0.2,0.015379796634986483,0.17537254143305633,-0.024627458566943677
2,1,salience_times_contention,0.8,Geological Feasibility,0.15,0.09924549877589926,0.1402467935516382,-0.009753206448361806
2,1,salience_times_contention,0.8,Market Stability,0.15,0.02005277479516439,0.1320151369546776,-0.017984863045322402
2,1,salience_times_contention,0.8,Local Employment,0.15,0.7434392735058548,0.20720726250541194,0.05720726250541194
2,1,salience_times_contention,0.8,Community Infrastructure,0.1,0.5250912298783984,0.12300744056730942,0.023007440567309412
2,1,salience_only,0.0,NPV,0.25,0.035510799205281045,0.25,0.0
2,1,salience_only,0.0,IRR,0.2,0.01653069817384845,0.2,0.0
2,1,salience_only,0.0,Geological Feasibility,0.15,0.09877656323744133,0.15,0.0
2,1,salience_only,0.0,Market Stability,0.15,0.02217063921082852,0.15,0.0
2,1,salience_only,0.0,Local Employment,0.15,0.7437356513208345,0.15,0.0
2,1,salience_only,0.0,Community Infrastructure,0.1,0.5425481103544566,0.1,0.0
2,1,salience_only,0.1,NPV,0.25,0.035510799205281045,0.2460614933116767,-0.0039385066883232955
2,1,salience_only,0.1,IRR,0.2,0.01653069817384845,0.19647689495507006,-0.0035231050449299472
2,1,salience_only,0.1,Geological Feasibility,0.15,0.09877656323744133,0.1485676269892281,-0.001432373010771898
2,1,salience_only,0.1,Market Stability,0.15,0.02217063921082852,0.14744064291599074,-0.002559357084009256
2,1,salience_only,0.1,Local Employment,0.15,0.7437356513208345,0.15805590912139245,0.008055909121392452
2,1,salience_only,0.1,Community Infrastructure,0.1,0.5425481103544566,0.10339743270664183,0.0033974327066418203
2,1,salience_only,0.3,NPV,0.25,0.035510799205281045,0.23862222383654405,-0.01137777616345595
2,1,salience_only,0.3,IRR,0.2,0.01653069817384845,0.18982225910129896,-0.010177740898701049
2,1,salience_only,0.3,Geological Feasibility,0.15,0.09877656323744133,0.14586208154794922,-0.004137918452050776
2,1,salience_only,0.3,Market Stability,0.15,0.02217063921082852,0.1426063875654837,-0.007393612434516306
2,1,salience_only,0.3,Local Employment,0.15,0.7437356513208345,0.17327235625829776,0.023272356258297766
2,1,salience_only,0.3,Community Infrastructure,0.1,0.5425481103544566,0.10981469169042644,0.009814691690426439
2,1,salience_only,0.5,NPV,0.25,0.035510799205281045,0.2317144853646385,-0.01828551463536149
2,1,salience_only,0.5,IRR,0.2,0.01653069817384845,0.18364309268485504,-0.01635690731514497
2,1,salience_only,0.5,Geological Feasibility,0.15,0.09877656323744133,0.1433498455824847,-0.006650154417515292
2,1,salience_only,0.5,Market Stability,0.15,0.02217063921082852,0.13811753664008866,-0.011882463359911333
2,1,salience_only,0.5,Local Employment,0.15,0.7437356513208345,0.18740159806687473,0.037401598066874736
2,1,salience_only,0.5,Community Infrastructure,0.1,0.5425481103544566,0.11577344166105834,0.015773441661058332
2,1,salience_only,0.8,NPV,0.25,0.035510799205281045,0.22223122250732724,-0.027768777492672758
2,1,salience_only,0.8,IRR,0.2,0.01653069817384845,0.17516004724175746,-0.02483995275824255
2,1,salience_only,0.8,Geological Feasibility,0.15,0.09877656323744133,0.13990093185811794,-0.01009906814188205
2,1,salience_only,0.8,Market Stability,0.15,0.02217063921082852,0.13195503448023724,-0.018044965519762757
2,1,salience_only,0.8,Local Employment,0.15,0.7437356513208345,0.20679887469948116,0.05679887469948117
2,1,salience_only,0.8,Community Infrastructure,0.1,0.5425481103544566,0.12395388921307902,0.02395388921307902
2,2,salience_times_contention,0.0,NPV,0.25,0.02141828438395139,0.25,0.0
2,2,salience_times_contention,0.0,IRR,0.2,0.01070681847480857,0.2,0.0
2,2,salience_times_contention,0.0,Geological Feasibility,0.15,0.03640960180519497,0.15,0.0
2,2,salience_times_contention,0.0,Market Stability,0.15,0.016745306223773477,0.15,0.0
2,2,salience_times_contention,0.0,Local Employment,0.15,0.6834383321392938,0.15,0.0
2,2,salience_times_contention,0.0,Community Infrastructure,0.1,0.4882310325180029,0.1,0.0
2,2,salience_times_contention,0.1,NPV,0.25,0.02141828438395139,0.2464248921751091,-0.0035751078248908996
2,2,salience_times_contention,0.1,IRR,0.2,0.01070681847480857,0.19692919930771507,-0.0030708006922849362
2,2,salience_times_contention,0.1,Geological Feasibility,0.15,0.03640960180519497,0.14807611560156198,-0.0019238843984380194
