canonical_record_id,source_phase,title,year,publisher,url,text_sha256,text_words,analysis_ready,cross_phase_status,duplicate_representative_record_id,explicit_duplicate_review_status,broad_near_duplicate_review_status,textwide_near_duplicate_review_status,fresh_recovery_reconciliation_status,corpus_freeze_status
expanded_media_candidates__EXP-MEDIA-009,prior_screened_300,An end to platinum miner's single-sex hostels beckons,2014,Mining Weekly,https://www.miningweekly.com/article/an-end-to-platinum-miners-single-sex-hostels-beckons-2014-03-28,5c8db58e76dbda2f1d5ea83bcbf2fe9044c39143251809f748868ca4967e71dd,1838,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-009,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-010,prior_screened_300,Marikana report to Zuma by Tuesday,2015,Mining Weekly,https://www.miningweekly.com/article/marikana-report-to-zuma-by-tuesday-2015-03-30,511cce9d227f9aec592d7e8ffaeff62b2b93ec0a53e32fe63e6608f63cfed199,497,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-010,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-011,prior_screened_300,Marikana Commission: Sowing the killing fields,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-09-marikana-commission-sowing-the-killing-fields/,44c9ce59960642d0e6a654fc89c58ef6a9466fcc355cccde730b9298b32a8cff,1366,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-011,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-012,prior_screened_300,Marikana Commission: 'Don't single us out' - police,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-06-marikana-commission-dont-single-us-out-police/,50dfa75cc8b2de3870af9d12d546fd882572261d39e2b54bbcc45def93c4f6e6,729,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-012,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-013,prior_screened_300,"Marikana Commission: The foiled saviour, Joseph Mathunjwa",2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-29-marikana-commission-the-foiled-saviour-joseph-mathunjwa/,0c2319b3c46cb0cf9480be593e09e9106c60813fc30975a028eb02ddbebbe5aa,882,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-013,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-014,prior_screened_300,25 October 2012: A day of reckoning at Marikana,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-24-25-october-2012-a-day-of-reckoning-at-marikana/,4e3ea31dfdf919d9c2c794cf7d9b1437e647a862a253530379106b22ab2b5eb4,1933,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-014,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-015,prior_screened_300,Marikana Commission: Gung-ho Mangwashi Phiyega under scrutiny,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-01-24-marikana-commission-gung-ho-mangwashi-phiyega-under-scrutiny/,7d241e22febe66fa22ee00065039db1528a597d2db6ce16dcf9ad0339709cfb2,796,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-015,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-016,prior_screened_300,Money-kana Commission?,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-08-30-money-kana-commission/,056db2efff6cea76c28b8552d852739c8ab499b71ad49dea640b063e04bd1105,862,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-016,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-017,prior_screened_300,"Marikana Commission: Lies, videotapes and the police's crumbling wall of deceit",2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-09-16-marikana-commission-lies-videotapes-and-the-polices-crumbling-wall-of-deceit/,5e31e6e57caf4214583c94ebeaa23343510424f17888e6c3c29e672c99c045ea,1518,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-017,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-018,prior_screened_300,Marikana massacre: More disturbing questions about police planning and objectives,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-10-23-marikana-massacre-more-disturbing-questions-about-police-planning-and-objectives/,058c26de8ab8949408d87ccab23a5d9059cb62d90ce1c30d94e99a3713dba22a,1204,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-018,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-019,prior_screened_300,"Marikana massacre: SAPS, Lonmin, Ramaphosa & time for blood. Miners' blood.",2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-10-24-marikana-massacre-saps-lonmin-ramaphosa-time-for-blood-miners-blood/,96c5940da3be55d96a4dd32fd89d4a2b44b1e29eb4ed3adf0bd480d1ac697891,2039,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-019,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-020,prior_screened_300,"Marikana massacre: Ramaphosa's statement, revisited",2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-10-25-marikana-massacre-ramaphosas-statement-revisited/,82537cbdb054407b0f325e09a049dd155bc410366aed46591e0cedc792d5b53a,1222,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-020,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-021,prior_screened_300,"Memories of Marikana, through the eNCA lens",2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-08-13-memories-of-marikana-through-the-enca-lens/,3824e8101415ccac7ec05d64746b009befa83114851c29e97e010acba0aa8fe1,1098,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-021,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-022,prior_screened_300,Marking the anniversary of two mining massacres: So much remains the same,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-08-14-marking-the-anniversary-of-two-mining-massacres-so-much-remains-the-same/,b811ad23c74197b341ffc6d11ff3c9eded04d06abd0bc80b4a4a85aaabb162a0,968,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-022,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-023,prior_screened_300,Marikana massacre: The first of Lonmin's voices are heard,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-09-marikana-massacre-the-first-of-lonmins-voices-are-heard/,129c755990cab327cefb7a4a78ca37da36666c67e68042086e90a73fb33007eb,2316,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-023,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-024,prior_screened_300,Marikana report: Key findings and recommendations,2015,Daily Maverick,https://www.dailymaverick.co.za/article/2015-06-26-marikana-report-key-findings-and-recommendations/,b3c9a6a8e3ea884723879deaf08dcbf70699096a6e5d8b3073e0c88d671af39a,1403,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-024,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
